codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
45312905;AMA-CUA-123PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-04-23
45312905;AMA-CUA-113PBL22;SHELL ADVANCE 4T AX5 20W-50 SL/MA CX 12x1L;000001;1760;2022-04-26
550032121;AMA-CIR-048PBL21;SHELL RISELLA X 415 1x209L;000001;40;2021-04-05
QC18560R14;572PBL22;QUALID 185/60R14 CITADINO;000002;1;2023-01-23
QC19560R15;572PBL22;QUALID 195/60R15 CITADINO;000003;18;2023-01-23
QU18565R14;572PBL22;QUALID 185/65 R14 URBANO;000002;2586;2023-01-23
AOT185R14;571PBL22;AOTELI 185/65R14 P307;000002;127;2023-01-25
AOT185R14;571PBL22;AOTELI 185/65R14 P307;000003;12;2023-01-25
QVU12R225;571PBL22;QUALID 12R22.5 18PR VULCANO;000002;246;2023-01-25
QPD29580;544PBL22;QUALID 295/80R22.5 18 PR PREDATOR;000002;110;2023-01-10
QC-1036;536PBL22;FORD EXPLORER;000004;50;2022-03-15
QC-1120;536PBL22;TOYOTA HILUX / FORTUNER;000004;939;2022-03-15
QC-618;536PBL22;CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA;000001;1046;2022-03-15
QC-618;536PBL22;CHEVROLET CORSA / LUV D-MAX/ MONTANA/ MERIVA;000004;50;2022-03-15
QC-7729;536PBL22;FIAT SIENA / PALIO (TODOS );000004;239;2022-03-15
QC-9292;536PBL22;FIESTA POWER 4L, 1.6 LT (00-07), ECOSPORT 4L, 1.6 (04-05) Y 2.0 LT (04-05), MAZDA 2;000001;1150;2022-03-15
QC-9292;536PBL22;FIESTA POWER 4L, 1.6 LT (00-07), ECOSPORT 4L, 1.6 (04-05) Y 2.0 LT (04-05), MAZDA 2;000004;391;2022-03-15
DK1856514;500PBL22;DOUBLE KING 185/65R14 DK298;000002;2;2022-11-21
DK1856514;500PBL22;DOUBLE KING 185/65R14 DK298;000003;1;2022-11-21
QA-1111;489PBL21;CHERY ORINOCO 4L 1.8L (AUTOMÁTICO);000004;528;2022-02-01
QAB70028X915;457PBL22;QUALID 28X-9-15 16PR AB700;000002;8;2022-12-29
QAB7005008;457PBL22;QUALID 5.00-8 10PR AB700;000002;20;2022-12-29
QAB7006009;457PBL22;QUALID 6.00-9 12 PR AB700;000002;28;2022-12-29
QAB70065010;457PBL22;QUALID 6.50-10 12PR AB700;000002;19;2022-12-29
QAB70070012;457PBL22;QUALID 7.00-12 12PR AB700;000002;38;2022-12-29
QAE80317525;457PBL22;QUALID 17.5-25 24PR AE803;000002;1;2022-12-29
QAE80320525;457PBL22;QUALID 20.5-25 24PR AE803;000002;2;2022-12-29
QAE804140024;457PBL22;14.00-24 36PR AE804;000002;16;2022-12-29
QAE80623126;457PBL22;QUALID 23.1-26 16PR AE806;000002;6;2022-12-29
QAL70210165;457PBL22;QUALID 10-16.5 12PR AL702;000002;24;2022-12-29
QAL70212165;457PBL22;QUALID 12-16.5 14PR AL702;000002;36;2022-12-29
QC-1010;441PBL22;TOYOTA COROLLA 1.6 / 1.8 VVL-I;000001;900;2022-10-04
QC-1010;441PBL22;TOYOTA COROLLA 1.6 / 1.8 VVL-I;000004;50;2022-10-04
QC-1083;441PBL22;FORD F150/ FX4/ F350;000001;8999;2022-10-04
QC-1083;441PBL22;FORD F150/ FX4/ F350;000004;50;2022-10-04
QC-1100;441PBL22;TOYOTA PRADO, 4RUNNER, FJ CRUISER;000001;2250;2022-10-04
QC-1100;441PBL22;TOYOTA PRADO, 4RUNNER, FJ CRUISER;000004;50;2022-10-04
QC-2;441PBL22;FILTRO UNIVERSAL;000004;100;2022-10-04
QC-3583;441PBL22;JEEP CJ SERIES / WAGONEER / WRANGLER (CON RETORNO);000001;700;2022-10-04
